"Year","Age","Sex","Rate"
2001,97,"Female",0.320093
2001,98,"Female",0.348786
2001,99,"Female",0.368139
2001,100,"Female",0.400576
2002,0,"Female",0.006349
2002,1,"Female",0.000426
2002,2,"Female",0.000279
2002,3,"Female",0.000201
2002,4,"Female",0.000171
2002,5,"Female",0.000162
2002,6,"Female",0.000128
2002,7,"Female",0.000123
2002,8,"Female",0.000134
2002,9,"Female",0.000132
2002,10,"Female",0.000125
2002,11,"Female",0.000129
2002,12,"Female",0.000144
2002,13,"Female",0.000185
2002,14,"Female",0.00021
2002,15,"Female",0.000254
2002,16,"Female",0.000385
2002,17,"Female",0.000436
2002,18,"Female",0.000463
2002,19,"Female",0.00045
2002,20,"Female",0.000449
2002,21,"Female",0.000498
2002,22,"Female",0.000468
2002,23,"Female",0.000449
2002,24,"Female",0.00049
2002,25,"Female",0.000493
2002,26,"Female",0.000516
2002,27,"Female",0.000511
2002,28,"Female",0.000573
2002,29,"Female",0.000606
2002,30,"Female",0.000644
2002,31,"Female",0.000672
2002,32,"Female",0.000744
2002,33,"Female",0.000791
2002,34,"Female",0.000866
2002,35,"Female",0.000956
2002,36,"Female",0.001038
2002,37,"Female",0.001135
2002,38,"Female",0.001232
2002,39,"Female",0.001435
2002,40,"Female",0.001503
2002,41,"Female",0.001645
2002,42,"Female",0.001788
2002,43,"Female",0.001986
2002,44,"Female",0.002113
2002,45,"Female",0.002307
2002,46,"Female",0.002389
2002,47,"Female",0.002602
2002,48,"Female",0.002864
2002,49,"Female",0.003046
2002,50,"Female",0.003243
2002,51,"Female",0.003469
2002,52,"Female",0.003675
2002,53,"Female",0.004103
2002,54,"Female",0.004517
2002,55,"Female",0.004855
2002,56,"Female",0.005311
2002,57,"Female",0.005844
2002,58,"Female",0.006509
2002,59,"Female",0.007106
2002,60,"Female",0.007897
2002,61,"Female",0.008413
2002,62,"Female",0.009268
2002,63,"Female",0.01008
2002,64,"Female",0.011215
2002,65,"Female",0.012072
2002,66,"Female",0.013078
2002,67,"Female",0.014588
2002,68,"Female",0.015655
2002,69,"Female",0.017332
2002,70,"Female",0.019193
2002,71,"Female",0.020482
2002,72,"Female",0.022773
2002,73,"Female",0.024606
2002,74,"Female",0.027554
2002,75,"Female",0.030511
2002,76,"Female",0.032801
2002,77,"Female",0.036923
2002,78,"Female",0.040246
2002,79,"Female",0.044353
2002,80,"Female",0.051817
2002,81,"Female",0.056681
2002,82,"Female",0.066233
2002,83,"Female",0.071882
2002,84,"Female",0.080833
2002,85,"Female",0.090251
2002,86,"Female",0.101946
2002,87,"Female",0.114089
2002,88,"Female",0.127696
2002,89,"Female",0.143569
2002,90,"Female",0.158633
2002,91,"Female",0.180127
2002,92,"Female",0.198281
2002,93,"Female",0.22308
2002,94,"Female",0.247519
2002,95,"Female",0.269159
2002,96,"Female",0.294673
2002,97,"Female",0.327249
2002,98,"Female",0.356466
2002,99,"Female",0.383393
2002,100,"Female",0.413401
2003,0,"Female",0.006235
2003,1,"Female",0.000415
2003,2,"Female",0.000303
2003,3,"Female",0.000223
2003,4,"Female",0.000176
2003,5,"Female",0.000143
2003,6,"Female",0.000127
2003,7,"Female",0.000134
2003,8,"Female",0.000121
2003,9,"Female",0.00013
2003,10,"Female",0.00014
2003,11,"Female",0.000131
2003,12,"Female",0.000131
2003,13,"Female",0.000163
2003,14,"Female",0.000175
2003,15,"Female",0.000241
2003,16,"Female",0.00035
2003,17,"Female",0.000395
2003,18,"Female",0.000486
2003,19,"Female",0.000459
2003,20,"Female",0.000478
2003,21,"Female",0.000486
2003,22,"Female",0.000506
2003,23,"Female",5e-04
2003,24,"Female",0.000513
2003,25,"Female",0.000497
2003,26,"Female",0.000545
